,0
171,9.960000000000004
172,9.983999999999998
173,10.032
174,10.092000000000002
175,10.152000000000005
176,10.212
177,10.272000000000002
178,10.272000000000002
179,10.332000000000004
180,10.404
181,10.452000000000002
182,10.500000000000004
183,10.547999999999998
184,10.596
185,10.644000000000002
186,10.692000000000004
187,10.751999999999999
188,10.824000000000002
189,10.872000000000003
190,10.872000000000003
191,10.919999999999998
192,10.98
193,11.040000000000003
194,11.111999999999998
195,11.16
196,11.208000000000002
197,11.256000000000004
198,11.315999999999999
199,11.376000000000001
200,11.436000000000003
201,11.436000000000003
202,11.495999999999999
203,11.556000000000001
204,11.616000000000003
205,11.675999999999998
206,11.748000000000001
207,11.784000000000002
208,11.832000000000004
209,11.879999999999999
210,11.940000000000001
211,12.000000000000004
212,12.012000000000004
213,12.059999999999999
214,12.120000000000001
215,12.192000000000004
216,12.192000000000004
217,12.239999999999998
218,12.288
219,12.348000000000003
220,12.419999999999998
221,12.468
222,12.516000000000002
223,12.564000000000004
224,12.611999999999998
225,12.66
226,12.720000000000002
227,12.780000000000005
228,12.791999999999998
229,12.828
230,12.888000000000002
231,12.948000000000004
232,13.02
233,13.056000000000001
234,13.068000000000001
235,13.175999999999998
236,13.187999999999999
237,13.236
238,13.296000000000003
239,13.367999999999999
240,13.416
241,13.464000000000002
242,13.512000000000004
243,13.559999999999999
244,13.559999999999999
245,13.608
246,13.668000000000003
247,13.727999999999998
248,13.8
249,13.836000000000002
250,13.896000000000004
251,13.956
252,14.016000000000002
253,14.052000000000003
254,14.052000000000003
255,14.111999999999998
256,14.172
257,14.232000000000003
258,14.303999999999998
259,14.34
260,14.388000000000002
261,14.436000000000003
262,14.495999999999999
263,14.556000000000001
264,14.568000000000001
265,14.616000000000003
266,14.663999999999998
267,14.712
268,14.772000000000002
269,14.844000000000005
270,14.892
271,14.892
272,14.952000000000002
273,15.012000000000004
274,15.072
275,15.132000000000001
276,15.132000000000001
277,15.192000000000004
278,15.264
279,15.3
280,15.360000000000003
281,15.431999999999999
282,15.468
283,15.516000000000002
284,15.576000000000004
285,15.636
286,15.648
287,15.684000000000001
288,15.744000000000003
289,15.815999999999999
290,15.864
291,15.924000000000003
292,15.983999999999998
293,15.995999999999999
294,16.044
295,16.092000000000002
296,16.140000000000004
297,16.188
298,16.236
299,16.284000000000002
300,16.344000000000005
301,16.416
302,16.464000000000002
303,16.512000000000004
304,16.56
305,16.62
306,16.680000000000003
307,16.692000000000004
308,16.74
309,16.788
310,16.836000000000002
311,16.884000000000004
312,16.944
313,17.016000000000002
314,17.064000000000004
315,17.112
316,17.172
317,17.232000000000003
318,17.280000000000005
319,17.280000000000005
320,17.34
321,17.400000000000002
322,17.472000000000005
323,17.508
324,17.568
325,17.628000000000004
326,17.640000000000004
327,17.688
328,17.748
329,17.820000000000004
330,17.855999999999998
331,17.904
332,17.964000000000002
333,18.036000000000005
334,18.072
335,18.072
336,18.132
337,18.192000000000004
338,18.252
339,18.324
340,18.372000000000003
341,18.432
342,18.432
343,18.492
344,18.564000000000004
345,18.612
346,18.66
347,18.708000000000002
348,18.756000000000004
349,18.804
350,18.852
351,18.912000000000003
352,18.972000000000005
353,19.044
354,19.080000000000002
355,19.140000000000004
356,19.2
357,19.212
358,19.26
359,19.308000000000003
360,19.355999999999998
361,19.416
362,19.476000000000003
363,19.536000000000005
364,19.584
365,19.632
366,19.680000000000003
367,19.680000000000003
368,19.74
369,19.8
370,19.860000000000003
371,19.932
372,19.98
373,20.028000000000002
374,20.076000000000004
375,20.076000000000004
376,20.136
377,20.208000000000002
378,20.244000000000003
379,20.291999999999998
380,20.352
381,20.424000000000003
382,20.472000000000005
383,20.52
384,20.568
385,20.628000000000004
386,20.628000000000004
387,20.688
388,20.748
389,20.820000000000004
390,20.868
391,20.916
392,20.964000000000002
393,21.012000000000004
394,21.06
395,21.108
396,21.168000000000003
397,21.228000000000005
398,21.288
399,21.3
400,21.348000000000003
401,21.396000000000004
402,21.444
403,21.492
404,21.540000000000003
405,21.600000000000005
406,21.66
407,21.720000000000002
408,21.720000000000002
409,21.780000000000005
410,21.84
411,21.912000000000003
412,21.960000000000004
413,22.008
414,22.068
415,22.068
416,22.188
417,22.188
418,22.26
419,22.308000000000003
420,22.355999999999998
421,22.416
422,22.476000000000003
423,22.536000000000005
424,22.548
425,22.596
426,22.644000000000002
427,22.692000000000004
428,22.74
429,22.788
430,22.836000000000002
431,22.884000000000004
432,22.919999999999998
433,23.004
434,23.076000000000004
435,23.124
436,23.184
437,23.184
438,23.280000000000005
439,23.316
440,23.364
441,23.412000000000003
442,23.460000000000004
443,23.508
444,23.556
445,23.616000000000003
446,23.688
447,23.724
448,23.784000000000002
449,23.784000000000002
450,23.844000000000005
451,23.904
452,23.964000000000002
453,24.036000000000005
454,24.084
455,24.084
456,24.144000000000002
457,24.216000000000005
458,24.264
459,24.324
460,24.384000000000004
461,24.396000000000004
462,24.444
463,24.492
464,24.552000000000003
465,24.624
466,24.636
467,24.720000000000002
468,24.768000000000004
469,24.816
470,24.864
471,24.912000000000003
472,24.972000000000005
